element,integration_point,H_old,H_actual,H_actual_minus_H_old,abs_H_actual_minus_H_old
37,2,0.0003971062814843626,0.0003971062814843626,0.0,0.0
37,3,0.0004061952470456506,0.0004061952470456506,0.0,0.0
37,4,0.000394317208476663,0.000394317208476663,0.0,0.0
38,1,0.00043256613556143806,0.00043256613556143806,0.0,0.0
38,2,0.00044322231020923634,0.00044322231020923634,0.0,0.0
38,3,0.0004325452614109196,0.0004325452614109196,0.0,0.0
38,4,0.00042217518254053895,0.00042217518254053895,0.0,0.0
39,1,0.0004571780746159132,0.0004571780746159132,0.0,0.0
39,2,0.0004816452083996382,0.0004816452083996382,0.0,0.0
39,3,0.0004834182763588528,0.0004834182763588528,0.0,0.0
39,4,0.0004498328885732774,0.0004498328885732774,0.0,0.0
40,1,0.0004982901146269435,0.0004982901146269435,0.0,0.0
40,2,0.0005131607299398586,0.0005131607299398586,0.0,0.0
40,3,0.0005230882303862679,0.0005230882303862679,0.0,0.0
40,4,0.0005058261522701468,0.0005058261522701468,0.0,0.0
41,1,0.0005460834868306732,0.0005460834868306732,0.0,0.0
41,2,0.0005540927256485899,0.0005540927256485899,0.0,0.0
41,3,0.0005434507179574973,0.0005434507179574973,0.0,0.0
41,4,0.0005368211656240085,0.0005368211656240085,0.0,0.0
42,1,0.0005665124178419379,0.0005665124178419379,0.0,0.0
42,2,0.0005913750329037609,0.0005913750329037609,0.0,0.0
42,3,0.0005907567745737266,0.0005907567745737266,0.0,0.0
42,4,0.0005577420358808486,0.0005577420358808486,0.0,0.0
43,1,0.0006102521010263674,0.0006102521010263674,0.0,0.0
43,2,0.0006285704799979359,0.0006285704799979359,0.0,0.0
43,3,0.000638385375352173,0.000638385375352173,0.0,0.0
43,4,0.0006162697290502284,0.0006162697290502284,0.0,0.0
44,1,0.0006351341138113137,0.0006351341138113137,0.0,0.0
44,2,0.0006653920406934922,0.0006653920406934922,0.0,0.0
44,3,0.0006558239463190696,0.0006558239463190696,0.0,0.0
44,4,0.0006443377701306663,0.0006443377701306663,0.0,0.0
45,1,0.0006751864534105457,0.0006751864534105457,0.0,0.0
45,2,0.0006975369907720173,0.0006975369907720173,0.0,0.0
45,3,0.0006948964661728389,0.0006948964661728389,0.0,0.0
45,4,0.0006662711514151389,0.0006662711514151389,0.0,0.0
46,1,0.0007166545987150935,0.0007166545987150935,0.0,0.0
46,2,0.0007373339988691295,0.0007373339988691295,0.0,0.0
46,3,0.0007465525913618778,0.0007465525913618778,0.0,0.0
46,4,0.0007207038328528748,0.0007207038328528748,0.0,0.0
47,1,0.0007456772885158705,0.0007456772885158705,0.0,0.0
47,2,0.0007727540900790964,0.0007727540900790964,0.0,0.0
47,3,0.000764748890788884,0.000764748890788884,0.0,0.0
47,4,0.0007549458732779524,0.0007549458732779524,0.0,0.0
48,1,0.0007794312309993264,0.0007794312309993264,0.0,0.0
48,2,0.0007967075730444147,0.0007967075730444147,0.0,0.0
48,3,0.000792553943690689,0.000792553943690689,0.0,0.0
48,4,0.0007712498937676493,0.0007712498937676493,0.0,0.0
49,1,0.0008133803333864268,0.0008133803333864268,0.0,0.0
49,2,0.0008338637335385917,0.0008338637335385917,0.0,0.0
49,3,0.0008416158387713916,0.0008416158387713916,0.0,0.0
49,4,0.0008150357935170333,0.0008150357935170333,0.0,0.0
50,1,0.0008433730720471918,0.0008433730720471918,0.0,0.0
50,2,0.0008692108169251391,0.0008692108169251391,0.0,0.0
50,3,0.0008628663350726723,0.0008628663350726723,0.0,0.0
50,4,0.0008520940509723779,0.0008520940509723779,0.0,0.0
51,1,0.0008732503307502408,0.0008732503307502408,0.0,0.0
51,2,0.0008850449652707032,0.0008850449652707032,0.0,0.0
51,3,0.0008800495233194676,0.0008800495233194676,0.0,0.0
51,4,0.0008662701032792935,0.0008662701032792935,0.0,0.0
52,1,0.000897746415980968,0.000897746415980968,0.0,0.0
52,2,0.0009153349708217363,0.0009153349708217363,0.0,0.0
52,3,0.000920534640388777,0.000920534640388777,0.0,0.0
52,4,0.0008969816131144209,0.0008969816131144209,0.0,0.0
53,1,0.0009245737496327191,0.0009245737496327191,0.0,0.0
53,2,0.0009308469139784292,0.0009308469139784292,0.0,0.0
