node,x,y,d_F1,d_unconstrained,d_unconstrained_minus_F1,d_F3_minus_F1
33,-0.09999999999999998,-0.5,0.0028725424232713395,0.0028192660282698105,-5.3276395001528986e-05,-2.671075779626768e-05
34,-0.08750000000000002,-0.5,0.0031443379708513534,0.0031312901828556556,-1.3047787995697745e-05,2.48879701363826e-05
35,-0.07500000000000001,-0.5,0.0037133045688111177,0.0034685824603878463,-0.0002447221084232714,-0.00019430602841783275
36,-0.0625,-0.5,0.003920591399018257,0.003835406485871889,-8.518491314636785e-05,-4.214233121325626e-05
37,-0.04999999999999999,-0.5,0.004253758650781742,0.004209641339378831,-4.411731140291104e-05,1.9792941057779692e-06
38,-0.03749999999999998,-0.5,0.0044479261875140785,0.004593904186063557,0.0001459779985494786,0.00020174750839419518
39,-0.025000000000000022,-0.5,0.005062373675752916,0.004989685185421797,-7.268849033111903e-05,-1.695831153553269e-05
40,-0.012500000000000011,-0.5,0.005451862916880818,0.005401633623922854,-5.0229292957964036e-05,2.643016121543426e-06
41,0.0,-0.5,0.00570933200453533,0.0058117004212457765,0.00010236841671044678,0.00016354539486878976
42,0.012499999999999956,-0.5,0.006256471281999162,0.006203321704074403,-5.3149577924758995e-05,2.2318606272453585e-05
43,0.025000000000000022,-0.5,0.0066565459518820175,0.006613756494877498,-4.278945700451984e-05,3.234294232443494e-05
44,0.03749999999999998,-0.5,0.0069672179116127084,0.00700724825137369,4.003033976098143e-05,0.0001297684967561212
45,0.050000000000000044,-0.5,0.00744694788783081,0.007395321546371054,-5.162634145975623e-05,5.026664159879773e-05
46,0.0625,-0.5,0.0078109121044224955,0.0077916225466242595,-1.928955779823601e-05,7.902202551022652e-05
47,0.07499999999999996,-0.5,0.00815232529001359,0.008173697921216826,2.1372631203235917e-05,0.00011937140009563724
48,0.08750000000000002,-0.5,0.008585131358349221,0.00852852120493809,-5.661015341113136e-05,5.321861734943617e-05
49,0.09999999999999998,-0.5,0.008872916466962283,0.008874955322478607,2.0388555163237954e-06,0.0001161570899607025
50,0.11250000000000004,-0.5,0.009204306012753207,0.009219758462268239,1.545244951503197e-05,0.00011872842690730315
51,0.125,-0.5,0.009608482824157324,0.009531574727667918,-7.690809648940554e-05,2.9902836837906316e-05
52,0.13749999999999996,-0.5,0.009813642496245237,0.009813023485845415,-6.190103998219426e-07,0.0001201462846024022
53,0.15000000000000002,-0.5,0.010098465985473724,0.010092948961109648,-5.51702436407675e-06,0.00011128538340361878
54,0.16249999999999998,-0.5,0.010449048215842282,0.010342251424052772,-0.00010679679178950997,1.7365835221298462e-05
55,0.17500000000000004,-0.5,0.010586855097237353,0.010579593969549654,-7.261127687698682e-06,0.00011624460746855782
56,0.1875,-0.5,0.010817534765381099,0.010808033545144917,-9.501220236182023e-06,0.00010238885528930305
57,0.19999999999999996,-0.5,0.01093582617996499,0.011008608161352998,7.278198138800825e-05,0.0001821335802158798
