node,x,y,reconstructed_residual,forensic_residual,residual_error
62,0.26249999999999996,-0.5,5.115791898073843e-11,5.1157918980722196e-11,1.6233419521353168e-23
63,0.275,-0.5,-1.3674111000646047e-09,-1.3674111000646103e-09,5.583469134732937e-24
64,0.2875,-0.5,7.321550744804964e-10,7.321550744804391e-10,5.728225741929717e-23
65,0.30000000000000004,-0.5,-1.408482190469344e-10,-1.4084821904696315e-10,2.874452628621771e-23
66,0.3125,-0.5,-1.0165044051345509e-09,-1.0165044051344719e-09,-7.899574849881414e-23
67,0.32499999999999996,-0.5,1.3479339762004044e-09,1.3479339762005037e-09,-9.926167350636332e-23
68,0.3375,-0.5,-1.1420733566500232e-10,-1.1420733566487597e-10,-1.2635183856747498e-22
69,0.35,-0.5,-7.340371712623199e-10,-7.340371712622343e-10,-8.561319339923836e-23
70,0.36250000000000004,-0.5,2.798284251936339e-09,2.7982842519362525e-09,8.644037401179139e-23
71,0.375,-0.5,-4.746676386066128e-11,-4.746676386066891e-11,7.625571271973224e-24
72,0.38749999999999996,-0.5,3.954054675090468e-10,3.954054675092845e-10,-2.3771102853242633e-22
73,0.4,-0.5,-3.9288114905817475e-09,-3.928811490581835e-09,8.768114493062093e-23
74,0.4125,-0.5,1.0142649045592327e-09,1.0142649045590464e-09,1.8632243297756948e-22
75,0.42500000000000004,-0.5,5.993380555267679e-10,5.99338055526762e-10,5.893661864440322e-24
76,0.4375,-0.5,-2.9779523861623205e-09,-2.977952386162332e-09,1.1580528575742387e-23
77,0.44999999999999996,-0.5,1.1822825833796032e-09,1.182282583379625e-09,-2.1713491079516976e-23
78,0.4625,-0.5,-8.585592919247797e-10,-8.585592919247653e-10,-1.4372263143108856e-23
79,0.475,-0.5,-2.2025394772654045e-09,-2.202539477265503e-09,9.843449289381029e-23
80,0.48750000000000004,-0.5,-4.828528997355069e-09,-4.828528997355064e-09,-4.963083675318166e-24
81,0.5,-0.5,-8.566147492784713e-10,-8.566147492784994e-10,2.812414082680294e-23
82,-0.5,-0.4875,-3.9873609578096467e-10,-3.987360957809642e-10,-4.652890945610781e-25
83,-0.4875,-0.4875,-1.172224197761124e-09,-1.172224197761115e-09,-9.098986738083304e-24
84,-0.475,-0.4875,9.888895771034133e-10,9.88889577103416e-10,-2.68833699079734e-24
85,-0.4625,-0.4875,1.2348732219969676e-09,1.2348732219969697e-09,-2.0679515313825692e-24
86,-0.45,-0.4875,-1.6473218033000112e-09,-1.6473218033000137e-09,2.481541837659083e-24
87,-0.4375,-0.4875,-1.2506718041213996e-10,-1.2506718041214208e-10,2.1196503196671334e-24
88,-0.425,-0.4875,5.472499880842484e-10,5.472499880842473e-10,1.0339757656912846e-24
89,-0.4125,-0.4875,-3.995571658495059e-10,-3.995571658495051e-10,-8.271806125530277e-25
90,-0.4,-0.4875,-9.27822808812689e-10,-9.278228088126903e-10,1.34416849539867e-24
91,-0.3875,-0.4875,2.1389070946446066e-10,2.1389070946445924e-10,1.4217166778255163e-24
92,-0.375,-0.4875,3.222859653879005e-10,3.222859653879009e-10,-4.1359030627651384e-25
93,-0.3625,-0.4875,-1.9559507948940827e-10,-1.9559507948940902e-10,7.496324301261813e-25
94,-0.35,-0.4875,-5.580992249657116e-10,-5.580992249657117e-10,1.0339757656912846e-25
95,-0.3375,-0.4875,1.6748151698334186e-10,1.674815169833412e-10,6.72084247699335e-25
96,-0.325,-0.4875,8.742682024182583e-10,8.742682024182559e-10,2.481541837659083e-24
97,-0.3125,-0.4875,-1.1076581744053815e-09,-1.1076581744053832e-09,1.6543612251060553e-24
98,-0.3,-0.4875,-8.671869921191894e-10,-8.671869921191893e-10,-1.0339757656912846e-25
99,-0.2875,-0.4875,1.9489923396273568e-09,1.9489923396273514e-09,5.37667398159468e-24
100,-0.275,-0.4875,-6.571976130893431e-10,-6.571976130893472e-10,4.1359030627651384e-24
101,-0.2625,-0.4875,-2.911642219229082e-09,-2.911642219229085e-09,2.895132143935597e-24
102,-0.25,-0.4875,4.200382979592287e-09,4.2003829795922905e-09,-3.308722450212111e-24
103,-0.2375,-0.4875,-8.372303351975857e-10,-8.372303351975688e-10,-1.685380498076794e-23
104,-0.22499999999999998,-0.4875,-3.56153850699016e-09,-3.561538506990162e-09,2.0679515313825692e-24
105,-0.21250000000000002,-0.4875,4.469910435164627e-09,4.469910435164646e-09,-1.9025154088719637e-23
106,-0.2,-0.4875,1.71384593255637e-09,1.713845932556388e-09,-1.7991178323028352e-23
107,-0.1875,-0.4875,-5.194486440746387e-09,-5.194486440746423e-09,3.556876633978019e-23
108,-0.175,-0.4875,2.789312412001497e-09,2.7893124120014875e-09,9.512577044359818e-24
109,-0.16249999999999998,-0.4875,5.002774715095286e-09,5.002774715095284e-09,2.481541837659083e-24
110,-0.15000000000000002,-0.4875,-5.428649983905993e-09,-5.428649983905975e-09,-1.819797347616661e-23
111,-0.1375,-0.4875,-1.941927788571724e-09,-1.9419277885717647e-09,4.0531850015098356e-23
112,-0.125,-0.4875,7.1178896505619534e-09,7.1178896505619915e-09,-3.8050308177439273e-23
