node,x,y,d_F1,d_compatible,d_compatible_minus_F1
52,0.13749999999999996,-0.5,0.009813642496245237,0.009871638243791097,5.7995747545860205e-05
53,0.15000000000000002,-0.5,0.010098465985473724,0.010148516697776286,5.005071230256182e-05
54,0.16249999999999998,-0.5,0.010449048215842282,0.010449048215842282,0.0
55,0.17500000000000004,-0.5,0.010586855097237353,0.010626786695261573,3.9931598024220416e-05
56,0.1875,-0.5,0.010817534765381099,0.01084437524763903,2.6840482257931703e-05
57,0.19999999999999996,-0.5,0.01093582617996499,0.01104038744870315,0.00010456126873815974
58,0.21250000000000002,-0.5,0.011185901150315881,0.011210065826433378,2.416467611749719e-05
59,0.22499999999999998,-0.5,0.011359381464645046,0.011377887046868516,1.8505582223469347e-05
60,0.23750000000000004,-0.5,0.011467953335878899,0.011529545472042256,6.159213616335757e-05
61,0.25,-0.5,0.011641593106650343,0.011654636686950551,1.3043580300207969e-05
62,0.26249999999999996,-0.5,0.01176304074074554,0.011780148854860527,1.710811411498661e-05
63,0.275,-0.5,0.011858216063321523,0.011892727946642562,3.45118833210388e-05
64,0.2875,-0.5,0.011993775191788628,0.011997535983399813,3.7607916111848105e-06
65,0.30000000000000004,-0.5,0.012080066646862862,0.012097763476913999,1.7696830051136536e-05
66,0.3125,-0.5,0.012166446655128331,0.012196428306094903,2.9981650966572418e-05
67,0.32499999999999996,-0.5,0.012297318076277909,0.012297318076277909,0.0
68,0.3375,-0.5,0.012368672818457365,0.012385889323638544,1.7216505181178593e-05
69,0.35,-0.5,0.01245912940384725,0.012485256588679605,2.612718483235507e-05
70,0.36250000000000004,-0.5,0.012612702346740333,0.012612702346740333,0.0
71,0.375,-0.5,0.012686000751439773,0.01270343447221319,1.743372077341737e-05
72,0.38749999999999996,-0.5,0.012803783564582095,0.012825578344308534,2.1794779726438257e-05
73,0.4,-0.5,0.012869106182987217,0.012960124117624507,9.101793463728997e-05
74,0.4125,-0.5,0.013098879794355258,0.01311246830659748,1.3588512242222739e-05
75,0.42500000000000004,-0.5,0.013268721448169145,0.013282743627490944,1.4022179321799416e-05
76,0.4375,-0.5,0.01338610727047593,0.013458438400212335,7.233112973640578e-05
77,0.44999999999999996,-0.5,0.013646570251555495,0.013660368459532776,1.3798207977280125e-05
78,0.4625,-0.5,0.0138310971335053,0.01387758290469011,4.648577118481108e-05
79,0.475,-0.5,0.013986822471510379,0.014053835680310446,6.701320880006696e-05
80,0.48750000000000004,-0.5,0.014026933799149991,0.014145228127075473,0.0001182943279254816
81,0.5,-0.5,0.014093512957812915,0.014176351325428695,8.283836761577984e-05
82,-0.5,-0.4875,0.0003323850605070059,0.0003693266500612779,3.694158955427202e-05
83,-0.4875,-0.4875,0.0003189621188236828,0.00035261408881754854,3.365196999386571e-05
84,-0.475,-0.4875,0.00031979312832869323,0.00032570289815780034,5.909769829107105e-06
85,-0.4625,-0.4875,0.0002841910317917291,0.0002841910317917291,0.0
86,-0.45,-0.4875,0.00020803561243074874,0.00022970352961797626,2.1667917187227515e-05
87,-0.4375,-0.4875,0.0001666343105137428,0.00017728202411725156,1.0647713603508771e-05
88,-0.425,-0.4875,0.00013272498877912788,0.00013461457790779646,1.8895891286685733e-06
89,-0.4125,-0.4875,8.558826301034348e-05,9.378910255974587e-05,8.200839549402393e-06
90,-0.4,-0.4875,5.014382265586622e-05,6.120033354185063e-05,1.1056510885984407e-05
91,-0.3875,-0.4875,4.1185422720723625e-05,4.2004088445708276e-05,8.186657249846513e-07
92,-0.375,-0.4875,3.150301512857455e-05,3.150301512857455e-05,0.0
93,-0.3625,-0.4875,2.188024451239178e-05,2.5149851095623715e-05,3.2696065832319353e-06
94,-0.35,-0.4875,2.3385325638336866e-05,2.947592133651235e-05,6.090595698175484e-06
95,-0.3375,-0.4875,4.5154012873906146e-05,4.569423808375404e-05,5.402252098478933e-07
96,-0.325,-0.4875,7.298711170083482e-05,7.298711170083482e-05,0.0
97,-0.3125,-0.4875,8.582317909055843e-05,0.00010009556333776229,1.4272384247203854e-05
98,-0.3,-0.4875,0.00013295812454692008,0.00014599297689488547,1.3034852347965385e-05
99,-0.2875,-0.4875,0.00021214068275014837,0.00021214068275014837,0.0
100,-0.275,-0.4875,0.00024851650595570014,0.00026358020362857566,1.5063697672875527e-05
101,-0.2625,-0.4875,0.0003101527336622337,0.0003424107995503592,3.225806588812554e-05
102,-0.25,-0.4875,0.0004521402963518418,0.0004521402963518418,0.0
103,-0.2375,-0.4875,0.000511481061421946,0.000536275567345149,2.479450592320293e-05
104,-0.22499999999999998,-0.4875,0.0006047726713786936,0.0006503075369197301,4.553486554103648e-05
105,-0.21250000000000002,-0.4875,0.0008126453691716612,0.0008126453691716612,0.0
106,-0.2,-0.4875,0.0009374062649060704,0.0009429408009238819,5.534536017811481e-06
107,-0.1875,-0.4875,0.0010451611611736354,0.0011031919572023876,5.803079602875218e-05
108,-0.175,-0.4875,0.0013149768436878637,0.0013149768436878637,0.0
109,-0.16249999999999998,-0.4875,0.0015462825022044,0.0015462825022044,0.0
110,-0.15000000000000002,-0.4875,0.0016745205176135858,0.0017462886124010421,7.176809478745636e-05
111,-0.1375,-0.4875,0.001964809504718259,0.002012150159509423,4.734065479116388e-05
112,-0.125,-0.4875,0.002327146478552984,0.002327146478552984,0.0
113,-0.11249999999999999,-0.4875,0.0025231607718885,0.0025781656879901972,5.5004916101697096e-05
114,-0.09999999999999998,-0.4875,0.0027965684696512473,0.002884439054206258,8.787058455501061e-05
115,-0.08750000000000002,-0.4875,0.003269123896724414,0.003269123896724414,0.0
116,-0.07500000000000001,-0.4875,0.00353877708336216,0.003555428487444293,1.665140408213311e-05
117,-0.0625,-0.4875,0.0037895417562071277,0.003910834877626372,0.0001212931214192442
118,-0.04999999999999999,-0.4875,0.004368730521025641,0.004368730521025641,0.0
119,-0.03749999999999998,-0.4875,0.004606851997801656,0.00466134737915032,5.449538134866434e-05
120,-0.025000000000000022,-0.4875,0.004891291761466244,0.005031621291247002,0.00014032952978075813
121,-0.012500000000000011,-0.4875,0.005541101940046776,0.005541101940046776,0.0
122,0.0,-0.4875,0.005881547069422739,0.005881547069422739,0.0
123,0.012499999999999956,-0.4875,0.006074758408054136,0.006241494624183704,0.00016673621612956803
124,0.025000000000000022,-0.4875,0.006708441718360719,0.006708441718360719,0.0
125,0.03749999999999998,-0.4875,0.007141293582901626,0.007141293582901626,0.0
