element,bulk_energy_from_SDV12,bulk_energy_from_stress_strain,undamaged_bulk_energy_from_SDV13,relative_sdv12_vs_stress_strain
3555,2.483917218362131e-07,2.4839172809881204e-07,2.5375915400906544e-07,2.5212590495714442e-08
3556,2.406129810440686e-07,2.4061298988978733e-07,2.4377997787233096e-07,3.676326351195255e-08
3557,4.166230449594238e-07,4.1662303939174675e-07,4.252617795094208e-07,1.3363824012679329e-08
3558,4.3832031028775296e-07,4.383203046424274e-07,4.485281481383247e-07,1.287945239152768e-08
3559,2.907411465565301e-07,2.907411620323295e-07,2.954359773252005e-07,5.322878713413731e-08
3560,1.088522173169119e-07,1.0885221651655446e-07,1.1164834459916931e-07,7.352697702322415e-09
3561,7.989734635000703e-08,7.989734943440392e-08,8.165833933774667e-08,3.860449580960812e-08
3562,9.042314758952579e-08,9.042314720262102e-08,9.252797318778689e-08,4.278824414049714e-09
3563,1.0908683700534455e-07,1.090868411153013e-07,1.1229375096381196e-07,3.7676008467242646e-08
3564,1.0417944976208132e-07,1.041794507251305e-07,1.064443323658816e-07,9.244137533670644e-09
3565,8.511304219456804e-08,8.511304188247456e-08,8.692533811166986e-08,3.666811534740698e-09
3566,1.1353201114061835e-07,1.135320115891915e-07,1.165379180595293e-07,3.9510719886920935e-09
3567,4.5343240724745446e-08,4.534324220464364e-08,4.6455090654879034e-08,3.2637679202297194e-08
3568,2.4866888946369173e-07,2.4866889091211426e-07,2.562659899874774e-07,5.824703375013239e-09
3569,4.2789447627147145e-08,4.2789446204206624e-08,4.369380045853022e-08,3.3254472778412935e-08
3570,9.234287391923556e-08,9.234287632474672e-08,9.435344815710088e-08,2.6049775179595042e-08
3571,6.366994872143835e-08,6.366994915696554e-08,6.539689925917912e-08,6.8403885165240835e-09
3572,6.013134255433386e-08,6.013134175269671e-08,6.18608342054816e-08,1.333143618735992e-08
3573,1.5326645398624815e-07,1.5326645628696947e-07,1.5829531989005443e-07,1.5011251490786234e-08
3574,1.3142143734008274e-07,1.3142143568679693e-07,1.3554613731251104e-07,1.258003141924362e-08
3575,8.330888995061073e-08,8.330889068130681e-08,8.5219262941184e-08,8.770925601965577e-09
3576,2.911919980120266e-08,2.911919932068335e-08,2.9765479419773553e-08,1.650180337083579e-08
3577,1.193662769317295e-07,1.193662782162153e-07,1.2193068678089247e-07,1.076087679013194e-08
3578,1.7518084291370714e-07,1.7518085158473887e-07,1.8048442209123036e-07,4.9497600074222906e-08
3579,2.748964526057013e-07,2.748964520051034e-07,2.82610841200724e-07,2.184815107801456e-09
3580,3.0325066036013393e-07,3.032506602337998e-07,3.100082685955008e-07,4.165996436743121e-10
3581,1.7375505740388638e-07,1.7375505105501456e-07,1.775473155185874e-07,3.6539205923869936e-08
3582,1.2546927411454213e-07,1.2546927554709105e-07,1.2913964619614474e-07,1.1417527619573648e-08
3583,2.4298137907415794e-07,2.429813845728731e-07,2.484468435099045e-07,2.2630191142071694e-08
3584,3.532321618368446e-07,3.532321474635029e-07,3.6068446164965697e-07,4.069092026882594e-08
3585,2.962952014050029e-07,2.9629519717891545e-07,3.0045648458486305e-07,1.4263097865618471e-08
3586,2.894944822261946e-07,2.894944837008884e-07,2.921699713957584e-07,5.094030872362038e-09
3587,1.681535160547374e-07,1.681535143276877e-07,1.697354789054694e-07,1.0270672550311872e-08
