node,x,y,d_lower_bound_F3
279,-0.0625,-0.4625,0.0038746620948610635
280,-0.04999999999999999,-0.4625,0.00431718708115519
281,-0.03749999999999998,-0.4625,0.004745971413387819
282,-0.025000000000000022,-0.4625,0.0050557509725014434
283,-0.012500000000000011,-0.4625,0.005535107045870674
284,0.0,-0.4625,0.006041861507314198
285,0.012499999999999956,-0.4625,0.00628450565131372
286,0.025000000000000022,-0.4625,0.006736021568767182
287,0.03749999999999998,-0.4625,0.007300322188427463
288,0.050000000000000044,-0.4625,0.007517996664570685
289,0.0625,-0.4625,0.007936563502851449
290,0.07499999999999996,-0.4625,0.008469790653323303
291,0.08750000000000002,-0.4625,0.008651411735676122
292,0.09999999999999998,-0.4625,0.008996229230296006
293,0.11250000000000004,-0.4625,0.009522052648879053
294,0.125,-0.4625,0.009657683545312932
295,0.13749999999999996,-0.4625,0.009911734610478352
296,0.15000000000000002,-0.4625,0.010404052772475605
297,0.16249999999999998,-0.4625,0.010461993124701911
298,0.17500000000000004,-0.4625,0.010667833063651945
299,0.1875,-0.4625,0.01107966047356387
300,0.19999999999999996,-0.4625,0.011110810687150773
301,0.21250000000000002,-0.4625,0.01126081008226688
302,0.22499999999999998,-0.4625,0.011570799056570727
303,0.23750000000000004,-0.4625,0.011583084678111914
304,0.25,-0.4625,0.011688775124803447
305,0.26249999999999996,-0.4625,0.011935004747420729
306,0.275,-0.4625,0.011935402969368517
307,0.2875,-0.4625,0.012006039617199257
308,0.30000000000000004,-0.4625,0.012118566412668483
309,0.3125,-0.4625,0.012234956814989803
310,0.32499999999999996,-0.4625,0.012291559355184927
311,0.3375,-0.4625,0.012386384340518832
312,0.35,-0.4625,0.012537450521419993
313,0.36250000000000004,-0.4625,0.012583127894711279
314,0.375,-0.4625,0.012683920376298726
315,0.38749999999999996,-0.4625,0.012913609919062815
316,0.4,-0.4625,0.012948433302982306
317,0.4125,-0.4625,0.01308120322911487
318,0.42500000000000004,-0.4625,0.013448548426461478
319,0.4375,-0.4625,0.013460326826742218
320,0.44999999999999996,-0.4625,0.013625646177569718
321,0.4625,-0.4625,0.014054618225411875
322,0.475,-0.4625,0.014065778301628376
323,0.48750000000000004,-0.4625,0.01412454913188366
324,0.5,-0.4625,0.01413907544614141
325,-0.5,-0.45,0.0003708935780190496
326,-0.4875,-0.45,0.0003591026690049848
327,-0.475,-0.45,0.0003417230350723592
328,-0.4625,-0.45,0.0003325082996728897
329,-0.45,-0.45,0.0002425375026306239
330,-0.4375,-0.45,0.00017781352413159875
331,-0.425,-0.45,0.0001252972273970308
332,-0.4125,-0.45,9.08025705056797e-05
333,-0.4,-0.45,6.143413853451139e-05
334,-0.3875,-0.45,4.074717759650179e-05
335,-0.375,-0.45,2.9649818694373017e-05
336,-0.3625,-0.45,2.6272357447360663e-05
337,-0.35,-0.45,2.733182671665023e-05
338,-0.3375,-0.45,4.17123137637342e-05
339,-0.325,-0.45,6.554195301241268e-05
340,-0.3125,-0.45,9.482265767181227e-05
341,-0.3,-0.45,0.0001361441729637356
342,-0.2875,-0.45,0.00019148939267826245
343,-0.275,-0.45,0.00025114106438194343
344,-0.2625,-0.45,0.00031336521786217645
345,-0.25,-0.45,0.00041415835165352366
346,-0.2375,-0.45,0.000535755369913995
347,-0.22499999999999998,-0.45,0.0006268100383771279
348,-0.21250000000000002,-0.45,0.0007828416809539827
349,-0.2,-0.45,0.0009967127128826423
350,-0.1875,-0.45,0.0010923769281942957
351,-0.175,-0.45,0.001296831857082898
352,-0.16249999999999998,-0.45,0.0016438340621735379
353,-0.15000000000000002,-0.45,0.001737762250294031
354,-0.1375,-0.45,0.0019434220573134714
355,-0.125,-0.45,0.0022442920918037132
356,-0.11249999999999999,-0.45,0.0025373171315093293
357,-0.09999999999999998,-0.45,0.00281104093253122
358,-0.08750000000000002,-0.45,0.003199892979432436
359,-0.07500000000000001,-0.45,0.0036390997955152225
360,-0.0625,-0.45,0.003883912346288729
