element,integration_point,H_F3
78,2,0.0012927869481123592
78,3,0.0012932430641181274
78,4,0.0012786144585519108
79,1,0.0013042761621851378
79,2,0.001320989978977572
79,3,0.0013209831313420839
79,4,0.0013042684371286197
80,1,0.0013340512150573998
80,2,0.0013530268350726187
80,3,0.0013530245304150532
80,4,0.0013340477143669346
81,1,4.6609877006374146e-05
81,2,4.134072294596589e-05
81,3,4.133544751680897e-05
81,4,4.660643543118377e-05
82,1,3.772819311642546e-05
82,2,3.311965319970595e-05
82,3,3.310651071213029e-05
82,4,3.771663978009486e-05
83,1,3.1164977350799116e-05
83,2,2.9017974356780036e-05
83,3,2.9845901171345998e-05
83,4,3.200094629304464e-05
84,1,2.5977136853637047e-05
84,2,2.0685427369692054e-05
84,3,2.0318313205827956e-05
84,4,2.6451133852358154e-05
85,1,1.750180525624012e-05
85,2,1.4799485661021146e-05
85,3,1.4586361495638769e-05
85,4,1.7472370216958135e-05
86,1,1.28986840987672e-05
86,2,1.2359097257214626e-05
86,3,1.2976640432426364e-05
86,4,1.3363288667496391e-05
87,1,1.113944705990295e-05
87,2,8.202406274007826e-06
87,3,8.594116703683178e-06
87,4,1.1781670642218242e-05
88,1,5.835515021593701e-06
88,2,3.982600092257235e-06
88,3,3.946966400736945e-06
88,4,5.936880660456078e-06
89,1,3.1316917892560045e-06
89,2,2.8249507992015117e-06
89,3,2.8572476127555655e-06
89,4,3.004043597783315e-06
90,1,2.639843449102869e-06
90,2,2.0608048025973904e-06
90,3,2.0918395247348716e-06
90,4,2.6770689745754548e-06
91,1,1.4980930814875184e-06
91,2,9.198594739556862e-07
91,3,9.215845816074277e-07
91,4,1.5148819552869345e-06
92,1,7.366084667386391e-07
92,2,7.564774768460507e-07
92,3,6.836650126166155e-07
92,4,7.349777287508218e-07
93,1,1.0501273140568606e-06
93,2,2.17159388894755e-06
93,3,2.1709519339868566e-06
93,4,1.0448186765177014e-06
94,1,3.435520328049066e-06
94,2,4.938092358721873e-06
94,3,4.951076700368571e-06
94,4,3.4420734391271493e-06
95,1,5.497746812440618e-06
95,2,5.869743254793607e-06
95,3,5.737959014348023e-06
95,4,5.510358291415684e-06
96,1,6.7835914746000855e-06
96,2,8.977322060886082e-06
96,3,8.981083262827355e-06
96,4,6.781905610771987e-06
97,1,1.1991034517831631e-05
97,2,1.6482280887395482e-05
97,3,1.6657867781521557e-05
97,4,1.2080691090742641e-05
98,1,1.8514107728413615e-05
98,2,1.9465798527020847e-05
98,3,1.968292169364022e-05
98,4,1.8693822131580972e-05
99,1,2.1101540604414346e-05
99,2,2.5064268191198493e-05
99,3,2.5103486647877076e-05
99,4,2.113339941146353e-05
100,1,2.8262025901162035e-05
100,2,3.64973426824209e-05
100,3,3.6975097104232184e-05
100,4,2.8281673738280852e-05
101,1,4.113779441477314e-05
101,2,4.4037286331120325e-05
101,3,4.459846485117819e-05
101,4,4.177076215613783e-05
102,1,4.578777669573015e-05
102,2,5.160721078543394e-05
102,3,5.169155129100718e-05
102,4,4.555003923962611e-05
103,1,5.6249634259248e-05
103,2,6.629128009248162e-05
103,3,6.658019610480055e-05
103,4,5.6340993168441604e-05
104,1,7.462130125874874e-05
104,2,8.109048907402357e-05
104,3,8.213627243488489e-05
104,4,7.551776402650426e-05
105,1,8.253641570833158e-05
105,2,9.106686926595595e-05
105,3,9.120189901010366e-05
105,4,8.340974235499188e-05
106,1,9.784369111381312e-05
106,2,0.00010823098939513731
106,3,0.00010795562971175283
106,4,9.798537199946558e-05
107,1,0.00012157029225422689
107,2,0.00013440353625828263
107,3,0.00013603411614661763
107,4,0.00012248222715457289
108,1,0.00013838655270836906
108,2,0.00014579423694356005
108,3,0.0001459784597714347
108,4,0.0001398872561091868
109,1,0.00015507024445717785
109,2,0.00016773462480965985
109,3,0.00016793323706235845
109,4,0.00015525920067052098
110,1,0.00018150387283365915
110,2,0.0002025092626761472
110,3,0.00020519797609441133
110,4,0.00018236280863639443
111,1,0.0002110301997583502
111,2,0.00021955811702004192
111,3,0.00021748479077075746
111,4,0.0002138353283876824
112,1,0.00022918546244950395
112,2,0.0002448249930644824
112,3,0.0002450559080135677
112,4,0.00022940861579422197
113,1,0.0002576208402165198
113,2,0.0002836398867874484
113,3,0.0002858002220303937
113,4,0.0002578520912087735
114,1,0.00029723701716592835
114,2,0.00030520881320946446
114,3,0.0003071984764691027
114,4,0.000300294585147123
115,1,0.0003196048928900392
115,2,0.0003378530577015465
115,3,0.00033809556978298523
115,4,0.0003198427381546542
116,1,0.0003529847921127357
116,2,0.00037953085044394085
116,3,0.0003792680874835366
116,4,0.0003532237080674495
117,1,0.0003992736411850574
117,2,0.00041140307844237805
117,3,0.0004128198455558739
117,4,0.0004004028907473691
118,1,0.0004235201866713679
118,2,0.00044358668459886695
118,3,0.0004438177783002905
118,4,0.00042375061419879266
119,1,0.0004603322021572877
119,2,0.00048386386261276763
119,3,0.0004821719500277504
119,4,0.00046055444281280645
120,1,0.0005097084549992539
120,2,0.0005279979368966863
120,3,0.0005273233137379301
120,4,0.0005085493257344742
